AÑO,CLASIFICACION,CH4_eq,CO2_eq,N2O_eq,Total_Emisiones,Emisiones_netas
1990,1 Energía,5260.9387,44309.8962,666.1706,50237.0055,50237.0055
1990,1.A. Actividades de quema de combustibles (enfoque sectorial),2787.9148,42880.1969,660.9609,46329.0727,46329.0727
1990,1.A.1. Industrias de la energía,5.4162,11246.1375,15.7528,11267.3065,11267.3065
1990,1.A.1.a. Producción de electricidad pública y calor como actividad principal,2.8035,6050.4796,12.9349,6066.2180,6066.2180
1990,1.A.1.ai. Generación de electricidad,2.8035,6050.4796,12.9349,6066.2180,6066.2180
1990,1.A.1.b. Refinación del petróleo,2.0612,3932.9227,2.1417,3937.1257,3937.1257
1990,1.A.1.c. Fabricación de combustibles sólidos y otras energías.,0.5514,1262.7352,0.6762,1263.9628,1263.9628
1990,1.A.1.c.i. Manufactura de Combustibles sólidos,0.0017,346.4769,,346.4786,346.4786
1990,1.A.1.c.ii. Extracción de petróleo y gas,0.5497,916.2583,0.6762,917.4842,917.4842
1990,1.A.1.c.iii. Otras industrias de la energía,0.0000,0.0000,0.0000,0.0000,0.0000
1990,1.A.2. Industrias manufactureras y construcción.,53.3471,8981.4245,89.5226,9124.2942,9124.2942
1990,1.A.2.a. Hierro y acero,0.4055,681.7565,2.6010,684.7630,684.7630
1990,1.A.2.b. Metales no ferrosos,0.0642,127.2010,0.0609,127.3261,127.3261
1990,1.A.2.c. Productos químicos,1.4599,707.2382,1.7417,710.4398,710.4398
1990,"1.A.2.d. Pulpa, papel e imprenta",3.1908,1738.3180,10.0906,1751.5995,1751.5995
1990,"1.A.2.e. Procesamiento de alimentos, bebidas y tabaco",45.4750,1351.7978,59.9491,1457.2219,1457.2219
1990,1.A.2.f. Minerales no metálicos,2.0388,3394.1744,12.0022,3408.2154,3408.2154
1990,1.A.2.g. Otros,0.7129,980.9387,3.0770,984.7286,984.7286
1990,1.A.2.g.i. Manufactura de maquinaria,0.0000,0.0000,0.0000,0.0000,0.0000
1990,1.A.2.g.ii. Manufactura de equipos de transporte,0.0000,0.0000,0.0000,0.0000,0.0000
1990,1.A.2.g.iii. Minería (con excepción de combustibles) y cantería,0.0000,0.0000,0.0000,0.0000,0.0000
1990,1.A.2.g.iv. Madera y productos de la madera,0.0000,0.0000,0.0000,0.0000,0.0000
1990,1.A.2.g.v. Construcción,0.0000,0.0000,0.0000,0.0000,0.0000
1990,1.A.2.g.vi. Textiles y cueros,0.3574,654.9346,2.4143,657.7063,657.7063
1990,1.A.2.g.viii. Otro,0.3555,326.0041,0.6627,327.0223,327.0223
1990,1.A.3. Transporte,194.1503,19342.2043,236.8946,19773.2492,19773.2492
1990,1.A.3.a. Aviación nacional,2.4259,1312.8299,3.0966,1318.3524,1318.3524
1990,1.A.3.b. Transporte por carretera,189.9121,17286.0124,204.2254,17680.1498,17680.1498
1990,1.A.3.b.ii. Camiones ligeros,18.2230,1378.3233,16.8893,1413.4356,1413.4356
1990,1.A.3.b.iii. Camiones y autobuses pesados,36.2246,4762.2402,62.3500,4860.8148,4860.8148
1990,1.A.3.b.iv. motocicletas,5.1904,1340.1511,4.9679,1350.3094,1350.3094
1990,1.A.3.bi Carros,130.2741,9805.2978,120.0181,10055.5900,10055.5900
1990,1.A.3.c. Ferrocarriles,0.1025,69.4093,6.2866,75.7984,75.7984
1990,1.A.3.d. Navegación marítima y fluvial nacional,1.4112,483.2426,3.8160,488.4698,488.4698
1990,1.A.3.e. Otro transporte,0.2986,190.7102,19.4701,210.4789,210.4789
1990,1.A.3.e.ii. Otro,0.2986,190.7102,19.4701,210.4789,210.4789
1990,1.A.3.ei Transporte por tuberías,0.0000,0.0000,0.0000,0.0000,0.0000
1990,1.A.4. Otros sectores,2535.0012,3310.4306,318.7909,6164.2228,6164.2228
1990,1.A.4.a. Comercial/institucional,0.5294,225.1868,0.1002,225.8164,225.8164
1990,1.A.4.ai Combustión estacionaria,0.5294,225.1868,0.1002,225.8164,225.8164
1990,1.A.4.b. Residencial,2104.8968,2826.4547,261.7536,5193.1051,5193.1051
1990,1.A.4.bi Combustión estacionaria,2104.8968,2826.4547,261.7536,5193.1051,5193.1051
1990,1.A.4.c. Agricultura/silvicultura/pesca,429.5750,258.7892,56.9371,745.3013,745.3013
1990,1.A.4.c.ii. Vehículos todoterreno y otra maquinaria.,0.0359,22.9145,2.3395,25.2899,25.2899
1990,1.A.4.ci Estacionario,429.5392,235.8747,54.5976,720.0115,720.0115
1990,1.B. Emisiones fugitivas de combustibles,2473.0239,1429.6992,5.2097,3907.9328,3907.9328
1990,1.B.1. Combustibles sólidos,1476.4666,78.5314,,1554.9980,1554.9980
1990,1.B.1.a. Minería carbonífera y manejo del carbón.,1476.4666,78.5314,,1554.9980,1554.9980
1990,1.B.1.a.ii. Minas de superficie,307.3867,11.6136,,319.0003,319.0003
1990,1.B.1.a.ii.1. Minería,236.4513,11.6136,,248.0649,248.0649
1990,1.B.1.a.ii.2. Emisiones posteriores a la minería,70.9354,,,70.9354,70.9354
1990,1.B.1.ai Minas subterráneas,1169.0799,66.9178,,1235.9977,1235.9977
1990,1.B.1.ai1. Minería,899.2922,66.7143,,966.0065,966.0065
1990,1.B.1.ai2. Emisiones posteriores a la minería,269.7877,0.2035,,269.9912,269.9912
1990,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,996.5573,1351.1678,5.2097,2352.9348,2352.9348
1991,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,977.5791,1311.3712,5.0467,2293.9970,2293.9970
1992,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,993.2724,1349.5380,5.1965,2348.0069,2348.0069
1993,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1004.2299,1392.8711,5.3704,2402.4715,2402.4715
1994,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1007.6634,1394.2099,5.3787,2407.2520,2407.2520
1995,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1258.6633,1785.7511,6.9244,3051.3389,3051.3389
1996,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1334.3927,1840.4238,7.1427,3181.9591,3181.9591
1997,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1493.8497,1993.3171,7.7486,3494.9154,3494.9154
1998,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1698.2052,2294.5408,8.9386,4001.6846,4001.6846
1999,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1720.5148,2479.4407,9.6474,4209.6029,4209.6029
2000,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1571.9528,2135.4138,8.1479,3715.5145,3715.5145
2001,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1456.5392,1890.9061,7.1794,3354.6247,3354.6247
2002,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1419.3952,1815.8817,6.8694,3242.1463,3242.1463
2003,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1343.5138,1696.2493,6.4351,3046.1983,3046.1983
2004,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1340.8418,1656.6353,6.2867,3003.7638,3003.7638
2005,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1352.9032,1660.7662,6.2573,3019.9267,3019.9267
2006,1.B.2. Petróleo y gas natural y otras emisiones provenientes de la energía,1490.2263,1666.8083,6.3116,3163.3462,3163.3462
1990,2 Procesos industriales,0.3631,3818.3496,263.7749,4124.1877,4124.1877
1990,2.A. industria de los minerales,,2846.6959,,2846.6959,2846.6959
